item,item_count,iterations_count,time_in_nanoseconds
823474,665,14,2117
355591,666,15,2142
628786,667,9,1268
35444,668,12,1184
564114,669,11,1473
716992,670,10,1166
504386,671,10,1045
174829,672,12,1667
964249,673,13,1710
843621,674,11,1043
305132,675,12,1397
432391,676,9,1081
598376,677,10,622
295928,678,11,726
691477,679,11,1411
886889,680,14,2178
887675,681,11,513
501923,682,11,1414
660260,683,10,880
747798,684,13,2178
985376,685,11,2033
120814,686,13,2201
288206,687,14,1704
565300,688,11,921
220434,689,12,3992
190922,690,8,1040
80060,691,11,1060
488489,692,11,929
471478,693,10,876
929226,694,11,1200
958298,695,13,12058
995166,696,13,7189
209585,697,12,11021
257329,698,10,1111
934974,699,11,625
301669,700,13,1082
659876,701,9,787
593958,702,10,667
190963,703,11,956
193655,704,14,1397
924805,705,13,4162
328068,706,11,1116
995490,707,13,1041
492438,708,10,1207
217307,709,10,724
70286,710,9,888
834524,711,11,1054
518865,712,13,2475
873878,713,17,1413
161792,714,11,1692
128710,715,11,908
90598,716,12,1968
178312,717,10,948
706496,718,11,1313
799138,719,12,1081
960833,720,12,1778
885444,721,11,782
922291,722,10,674
54262,723,13,1552
881187,724,11,606
951890,725,10,817
340460,726,10,748
660379,727,12,1481
648926,728,9,553
808907,729,12,1191
824192,730,13,1390
518371,731,12,1132
515900,732,10,515
151639,733,10,874
681845,734,13,1151
65832,735,10,915
183744,736,9,654
651137,737,11,1232
899481,738,13,1501
123821,739,14,1868
439748,740,12,1073
544564,741,11,1093
995694,742,13,1427
618292,743,11,1485
685185,744,11,11018
423317,745,9,636
960515,746,12,977
406044,747,14,1271
225837,748,12,1556
509116,749,13,1063
855518,750,11,742
302451,751,15,1709
654719,752,11,1202
998863,753,11,378
883733,754,14,1007
807776,755,11,686
814926,756,11,644
852029,757,13,775
624508,758,10,682
51558,759,10,847
633239,760,11,1357
254613,761,17,1544
908920,762,12,1268
583958,763,11,1268
582046,764,12,816
716288,765,13,1006
228210,766,11,960
248468,767,13,813
161579,768,12,1010
367329,769,10,612
667367,770,14,1750
652355,771,11,579
630261,772,11,521
645064,773,11,567
217245,774,12,677
315600,775,12,837
426333,776,10,1109
132109,777,11,1130
106672,778,12,793
72984,779,9,518
129553,780,13,1474
608975,781,11,690
12171,782,12,1157
118839,783,11,479
328081,784,14,1819
661513,785,11,813
468338,786,13,1005
392046,787,11,937
734094,788,11,799
94349,789,13,1222
744763,790,16,1015
238704,791,13,1232
60590,792,10,690
947041,793,11,891
172253,794,13,1672
296713,795,12,1140
416365,796,11,953
115891,797,11,703
744480,798,14,973
785132,799,13,1228
185309,800,9,814
371257,801,12,2175
799092,802,13,1402
279383,803,11,779
205582,804,13,1374
821289,805,15,1927
288350,806,14,945
394725,807,11,918
333000,808,13,2689
953938,809,14,2344
760973,810,14,1587
502064,811,12,1677
131701,812,11,1042
431702,813,11,1698
993547,814,10,745
313504,815,15,1090
10204,816,12,1835
948676,817,13,1100
419855,818,9,503
879573,819,13,1364
261576,820,11,794
958550,821,11,427
633583,822,10,824
6445,823,13,590
826759,824,11,698
692612,825,12,1428
964786,826,14,1705
591922,827,10,1111
141262,828,14,1342
629186,829,11,848
745347,830,15,2296
495779,831,10,792
518202,832,12,1690
514781,833,13,443
582466,834,13,1830
345693,835,10,624
659953,836,10,861
353582,837,11,573
177141,838,14,12162
849062,839,12,1012
993447,840,12,663
843832,841,15,1066
970204,842,11,528
308118,843,11,1278
672572,844,9,827
687076,845,12,1186
211746,846,12,1133
632931,847,12,2607
335171,848,14,914
549206,849,12,1860
714159,850,13,1583
871815,851,14,1280
320606,852,11,635
428715,853,13,1598
252058,854,12,838
321872,855,13,792
496453,856,12,1472
13394,857,12,1014
813884,858,12,1311
573956,859,10,790
617765,860,11,860
696772,861,11,1214
143968,862,10,834
949038,863,15,1193
479333,864,10,684
924321,865,14,1931
979798,866,13,1569
572169,867,12,932
83267,868,11,1149
180456,869,13,1559
494951,870,13,1142
348488,871,12,1300
432733,872,13,847
590675,873,10,710
462690,874,11,692
356288,875,14,1967
563148,876,14,1316
293389,877,14,1131
4565,878,12,1204
826163,879,13,1502
971115,880,13,944
581329,881,10,702
574168,882,12,456
996602,883,15,1532
614261,884,11,914
867744,885,13,1027
520771,886,12,1111
244430,887,12,904
313356,888,14,1708
777950,889,11,1674
414079,890,12,2234
114547,891,11,939
156630,892,9,1012
907338,893,12,1029
568058,894,10,847
405185,895,13,1601
272386,896,11,986
827544,897,10,739
251700,898,15,2031
723216,899,12,1382
828841,900,10,452
97261,901,10,723
401271,902,11,615
823423,903,13,1557
481871,904,10,745
162039,905,10,907
850851,906,12,915
291361,907,15,2161
680520,908,15,2313
270886,909,13,1363
12711,910,13,2055
772293,911,10,810
218615,912,11,896
771018,913,12,996
105292,914,12,1110
45665,915,10,673
655346,916,10,942
15626,917,14,1372
987243,918,12,1328
106715,919,13,1785
429249,920,10,874
470142,921,11,832
575359,922,13,1708
719411,923,10,998
248006,924,12,720
263018,925,11,679
266389,926,13,814
436239,927,13,1200
436278,928,14,695
5976,929,11,717
876128,930,12,1039
68644,931,11,891
759109,932,13,1705
476625,933,12,923
665385,934,10,3816
615871,935,10,1039
786016,936,14,924
786807,937,14,1096
277027,938,12,577
206382,939,15,1098
618196,940,14,1278
941826,941,13,1932
312668,942,12,4225
770445,943,12,706
232652,944,12,868
741653,945,12,849
31632,946,10,799
421808,947,11,837
474039,948,12,1995
445820,949,16,988
880728,950,13,1717
100458,951,13,942
963208,952,11,922
132037,953,12,1687
387519,954,12,1156
496248,955,10,591
469719,956,14,1602
269432,957,12,597
772661,958,11,520
350541,959,11,983
175781,960,10,1002
517236,961,11,1080
118941,962,13,1241
869499,963,12,1171
883388,964,14,1089
958183,965,11,745
437185,966,11,662
128571,967,16,928
546357,968,11,939
902953,969,10,629
950053,970,14,1459
348953,971,12,1246
771476,972,11,459
636854,973,10,1023
981625,974,14,979
439743,975,13,1360
995469,976,12,868
346118,977,11,425
954600,978,13,1183
775260,979,13,875
908650,980,11,1332
796427,981,11,1022
936397,982,11,654
780592,983,12,803
25156,984,11,920
140998,985,13,2606
113477,986,13,1268
391095,987,10,840
316014,988,11,890
821190,989,14,2136
35871,990,11,931
941615,991,13,786
444786,992,12,770
814271,993,14,769
866992,994,14,1226
564232,995,11,958
253427,996,12,862
12931,997,11,813
240068,998,14,1342
263144,999,13,897
999153,1000,11,844
843103,1001,12,939
26991,1002,14,1873
835991,1003,13,920
377707,1004,12,897
420565,1005,12,1305
581569,1006,12,1325
298126,1007,12,900
880287,1008,13,812
