item,item_deleted,item_count,iterations_count,time_in_nanoseconds
845718,true,9506,10,1109
352713,true,9505,13,938
608063,true,9504,15,1724
138691,true,9503,15,907
30121,true,9502,14,1243
364920,true,9501,14,1245
257797,true,9500,9,1169
434720,true,9499,14,1208
24080,true,9498,14,1175
679257,true,9497,12,1624
737824,true,9496,14,1372
437489,true,9495,12,1184
580341,true,9494,11,1275
236050,true,9493,13,1601
655515,true,9492,14,1656
459706,true,9491,12,1243
660379,true,9490,12,1634
289581,true,9489,14,1487
654847,true,9488,14,500
780351,true,9487,13,1458
563148,true,9486,12,1227
641193,true,9485,13,1697
216243,true,9484,13,1102
694096,true,9483,14,1097
998007,true,9482,13,1562
547775,true,9481,11,1226
925463,true,9480,14,1425
884162,true,9479,13,1386
92435,true,9478,14,1384
305448,true,9477,11,1054
467985,true,9476,14,1493
420082,true,9475,13,1428
744480,true,9474,9,1278
973643,true,9473,10,1360
23135,true,9472,13,1151
515201,true,9471,14,1403
505476,true,9470,13,1091
739212,true,9469,11,1367
26044,true,9468,13,742
655527,true,9467,12,789
10519,true,9466,12,1338
467147,true,9465,14,730
775535,true,9464,14,1996
448036,true,9463,13,1054
665385,true,9462,14,1029
582466,true,9461,12,1170
812825,true,9460,13,1319
762547,true,9459,15,1593
219762,true,9458,13,1120
431702,true,9457,7,1235
213250,true,9456,13,1197
403090,true,9455,14,1640
897814,true,9454,15,1718
293723,true,9453,14,1817
598630,true,9452,14,1191
415350,true,9451,13,1177
621608,true,9450,9,950
295133,true,9449,12,834
279235,true,9448,11,1183
29142,true,9447,15,1714
867736,true,9446,14,1496
643503,true,9445,14,1579
310559,true,9444,12,1483
555148,true,9443,11,955
703240,true,9442,14,1212
471344,true,9441,13,1593
316970,true,9440,14,2093
931309,true,9439,14,1988
852029,true,9438,12,1134
362852,true,9437,10,1037
867541,true,9436,14,937
367329,true,9435,13,1716
747827,true,9434,14,927
831126,true,9433,13,1167
554837,true,9432,9,688
756948,true,9431,14,1277
343467,true,9430,13,1799
108522,true,9429,13,1706
470619,true,9428,13,791
235703,true,9427,13,1125
988467,true,9426,14,1050
437755,true,9425,12,947
116878,true,9424,12,931
973531,true,9423,14,745
11603,true,9422,13,1619
598376,true,9421,15,822
447902,true,9420,13,672
661630,true,9419,15,1261
941050,true,9418,12,858
579874,true,9417,14,1800
492514,true,9416,13,1589
347730,true,9415,11,740
101487,true,9414,11,12532
595718,true,9413,13,1024
307940,true,9412,13,1071
329018,true,9411,13,1236
221459,true,9410,15,1524
790806,true,9409,13,1470
472588,true,9408,15,1526
98294,true,9407,13,1366
456941,true,9406,11,2187
484567,true,9405,15,1645
887804,true,9404,9,1872
825261,true,9403,6,976
368697,true,9402,14,2155
916579,true,9401,11,2144
773899,true,9400,12,1437
729389,true,9399,14,1466
909572,true,9398,13,3210
835050,true,9397,11,2147
773786,true,9396,11,474
691266,true,9395,12,2446
450688,true,9394,12,1990
381286,true,9393,12,1387
679532,true,9392,14,1728
210858,true,9391,14,1494
909258,true,9390,14,1090
607210,true,9389,15,1539
809864,true,9388,13,1549
460177,true,9387,14,1550
373254,true,9386,15,1520
306312,true,9385,14,1095
60971,true,9384,12,2062
503700,true,9383,15,2734
345032,true,9382,13,851
230806,true,9381,10,2002
651717,true,9380,12,1585
432065,true,9379,13,1247
526358,true,9378,11,3460
45524,true,9377,15,1377
355684,true,9376,14,1431
842706,true,9375,13,11878
186519,true,9374,14,2003
349316,true,9373,14,1139
808907,true,9372,12,1883
891701,true,9371,9,1501
142947,true,9370,15,1580
780770,true,9369,14,1349
930231,true,9368,14,8077
352544,true,9367,13,786
443663,true,9366,13,1484
82481,true,9365,13,1631
986096,true,9364,13,1447
3544,true,9363,15,1669
760758,true,9362,13,1386
177117,true,9361,14,1234
845117,true,9360,11,1127
397271,true,9359,13,1611
254662,true,9358,12,2546
721082,true,9357,11,1614
237772,true,9356,14,1479
687395,true,9355,13,1373
425208,true,9354,15,2186
947752,true,9353,13,1973
405028,true,9352,13,1339
902471,true,9351,14,1593
686225,true,9350,12,1224
606749,true,9349,14,1371
126776,true,9348,16,2887
412498,true,9347,13,1234
346503,true,9346,12,1188
141317,true,9345,13,1363
444642,true,9344,13,1244
504748,true,9343,13,1533
754650,true,9342,8,1480
302180,true,9341,12,1599
10313,true,9340,15,1995
877106,true,9339,14,1863
676817,true,9338,14,1580
785859,true,9337,15,1651
423004,true,9336,12,1822
968021,true,9335,11,1597
420565,true,9334,11,2380
86395,true,9333,13,1361
802408,true,9332,15,2304
638880,true,9331,13,1925
737488,true,9330,13,2037
786807,true,9329,10,1686
130935,true,9328,15,2213
894856,true,9327,15,1982
430328,true,9326,15,2630
833441,true,9325,13,16350
756763,true,9324,12,1664
874207,true,9323,13,2596
487194,true,9322,15,2579
928254,true,9321,14,2256
644878,true,9320,15,1852
397681,true,9319,14,2314
962078,true,9318,13,1829
39069,true,9317,15,2401
541976,true,9316,13,2076
281989,true,9315,13,2335
314157,true,9314,12,2027
895906,true,9313,14,1571
407623,true,9312,13,1402
654967,true,9311,14,2403
322487,true,9310,12,1809
424076,true,9309,10,1551
538160,true,9308,15,2542
727425,true,9307,10,1891
453331,true,9306,14,2435
454023,true,9305,13,1251
671951,true,9304,14,1837
498202,true,9303,14,2270
785155,true,9302,15,1653
332514,true,9301,8,1533
951453,true,9300,14,2220
122864,true,9299,13,2702
611276,true,9298,13,2156
64953,true,9297,14,1847
793453,true,9296,12,1319
991125,true,9295,13,2036
763617,true,9294,15,1909
242146,true,9293,10,1749
397104,true,9292,12,1738
833644,true,9291,13,1894
899644,true,9290,12,1888
455168,true,9289,13,1381
292586,true,9288,15,2560
135753,true,9287,14,1642
189254,true,9286,16,1659
927848,true,9285,14,2124
713953,true,9284,14,1994
882914,true,9283,14,1348
